"species","mean_percentage","sd_percentage"
"Narcine westraliensis",20.296875,4.1990632128524
"Squalus megalops",20.1666666666667,1.92045770055159
"Rhinoptera neglecta",20.1428571428571,2.7098300106865
"Insentiraja laxipella",20.1052631578947,9.08161476814869
"Aptychotrema rostrata",20.0769230769231,2.9737879404991
"Carcharhinus tilstoni",19.9718543046358,1.56424764178558
"Orectolobus ornatus",19.9562841530055,3.14292713790479
"Atelomycterus marnkalha",19.8639240506329,2.11681530880917
"Aptychotrema timorensis",19.8,17.1729173674449
"Brachaelurus colcloughi",19.710843373494,4.21041248679211
"Narcine lasti",19.6916996047431,2.28435301698659
"Dipturus endeavouri",19.6190476190476,5.37343202533675
"Galeus gracilis",19.5928571428571,3.38435747071579
"Himantura toshi",19.5409356725146,2.14185381610008
"Carcharhinus fitzroyensis",19.4801444043321,1.46456446777426
"Rhizoprionodon taylori",19.3376436781609,1.26861807787456
"Trygonoptera testacea",19.325,5.34013534047083
"Dipturus flindersi",19.2727272727273,11.2852207198198
"Orectolobus reticulatus",19.25,6.21391095799895
"Trygonoptera personata",19.2142857142857,10.0859530117396
"Rhinobatos sainsburyi",19.0805687203791,2.4820130399359
"Squalus edmundsi",18.8125,2.97227827285958
"Sinobatis bulbicauda",18.7777777777778,2.51817189137736
"Hemigaleus australiensis",18.6853582554517,1.36204270560184
"Atelomycterus macleayi",18.6534653465347,2.65511126935848
"Urolophus piperatus",18.5555555555556,7.32265393263572
"Orectolobus wardi",18.4814814814815,2.25041352454148
"Etmopterus evansi",18.3952095808383,2.77239427746963
"Neotrygon annotata",18.3427230046948,2.51124176245404
"Hemiscyllium trispeculare",18.2852348993289,1.3454516501803
"Aetomylaeus caeruleofasciatus",17.9728,1.38816795187984
"Centrophorus harrissoni",17.9090909090909,3.22586015925293
"Narcine ornata",17.8005952380952,2.08341707726966
"Neotrygon picta",17.4361370716511,2.20880442624786
"Carcharhinus coatesi",17.3265027322404,1.19223032045565
"Mustelus ravidus",17.1225296442688,2.2846983974103
"Cephaloscyllium cooki",16.6262626262626,4.02358503249194
"Rhynchobatus palpebratus",16.4431137724551,1.60253714686385
"Gymnura australis",16.1908396946565,1.43093397593775
"Centroscyllium kamoharai",16.137741046832,1.83536985380188
"Carcharhinus cautus",16.0837988826816,1.84782843018524
"Hypogaleus hyugaensis",16.0697247706422,0.7585841445789
"Dipturus falloargus",15.8870056497175,2.81546117022649
"Himantura astra",15.3929824561404,1.07592258245128
"Bathyraja ishiharai",15.047619047619,6.55230712398422
"Potamotrygon magdalenae",15,27.0614713628663
"Squalus montalbani",14.9104895104895,1.06512361401288
"Bythaelurus incanus",14.6666666666667,11.592275250871
"Etmopterus dianthus",14.5757575757576,5.78970623252944
"Asymbolus galacticus",14.5,6.87909770863507
"Dasyatis fluviorum",14.1089743589744,2.50762555729954
"Torpedo suessii",14,34.8735088019777
"Insentiraja subtilispinosa",13.94140625,2.07272318911112
"Apristurus platyrhynchus",13.0821529745042,1.59814197729841
"Eucrossorhinus dasypogon",12.85667752443,1.27818854682669
"Hemiscyllium ocellatum",12.6028243601059,0.870249158126149
"Myliobatis hamlyni",12.4511627906977,2.09873675315645
"Myliobatis tenuicaudatus",12.2731629392971,1.21340659371017
"Diplobatis colombiensis",11.8947368421053,6.67505557984652
"Etmopterus unicolor",11.6537931034483,1.0648951166362
"Bathyraja irrasa",11.3432835820896,3.77108341667586
"Deania quadrispinosa",11.304347826087,1.54696279287933
"Squalus nasutus",11.2086956521739,2.14213042703205
"Apristurus sinensis",10.7110266159696,1.48967910311926
"Dasyatis brevicaudata",10.6876456876457,0.976604585477518
"Etmopterus perryi",10.6363636363636,9.92962968619594
"Plesiobatis daviesi",9.50871080139373,1.15593139776791
"Centrophorus moluccensis",9.44073455759599,1.00765902867204
"Brochiraja aenigma",9.42857142857143,7.79028355269402
"Oxynotus bruniensis",9.34336525307797,0.911059506799981
"Narcine leoparda",9.33333333333333,9.43866595522593
"Pastinachus atrus",9.2431592039801,0.583897424488433
"Iago garricki",9.19929660023447,0.811951972233686
"Apristurus pinguis",8.98871331828443,1.21640857540406
"Etmopterus caudistigmus",8.76666666666667,4.22846428544023
"Squalus crassispinus",8.66806722689076,1.7356418849916
"Okamejei arafurensis",8.48387096774194,1.98455233115614
"Centroscymnus owstonii",7.42781998831093,0.583572945287049
"Urobatis tumbesensis",7.375,5.57462006677486
"Discopyge castelloi",7.37037037037037,5.25090625139179
"Cephalurus cephalus",7.25862068965517,3.45084369733306
"Etmopterus brachyurus",7.22670025188917,1.11716768197684
"Bathyraja murrayi",7.21739130434783,2.35073584716009
"Himantura fai",7.21541407371948,0.440726532206809
"Zearaja argentinensis",6.94405594405594,1.90218671495286
"Potamotrygon yepezi",6.92307692307692,6.78397772067844
"Rhinochimaera pacifica",6.7071791972866,0.578463395491994
"Galeus priapus",6.69230769230769,3.17496817321619
